Synsets,domain_x,norm,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,raw_translation,raw_translation_lemmas,translation_set,number_tranlsation,number_sense,translation_lemmas_set,number_tranlsation_lemmas,number_sense_lemmas
Synset('adjustable_wrench.n.01'),tool,adjustable_wrench,1,7,0.0,1.0129032258064516,0.5631725787166202,17,2,1,nb,adjust change change hold hold hold screw tool ,adjust change change hold hold hold screw tool adjust angle angle angle rotate rotate rotate ,"['adjust', 'hold', 'change', 'screw', 'tool']",8,5,"['adjust', 'hold', 'rotate', 'angle', 'change', 'screw', 'tool']",15,7
Synset('allen_wrench.n.01'),tool,allen_wrench,1,0,0.0,1.0129032258064516,0.3910920685532084,12,1,1,nb,break hold hold hold metal screw tool ,break hold hold hold metal screw tool ,"['break', 'hold', 'metal', 'screw', 'tool']",7,5,"['break', 'hold', 'metal', 'screw', 'tool']",7,5
Synset('alligator_wrench.n.01'),tool,alligator_wrench,1,0,0.0,1.0129032258064516,1.5174372259864488,16,1,1,nb,animal claw claw claw chew chew chew eat teeth teeth teeth eat fin eat teeth,animal claw claw claw chew chew chew eat teeth teeth teeth eat fin eat teeth,"['claw', 'chew', 'eat', 'animal', 'fin', 'teeth']",15,6,"['claw', 'chew', 'eat', 'animal', 'fin', 'teeth']",15,6
Synset('awl.n.01'),tool,awl,1,2,15.7,0.9116129032258066,0.9855520127540852,3,1,1,b,cloth cloth hand knit knit wool ,cloth cloth hand knit knit wool ,"['hand', 'cloth', 'knit', 'wool']",6,4,"['hand', 'cloth', 'knit', 'wool']",6,4
Synset('backsaw.n.01'),tool,backsaw,1,0,0.0,1.1141935483870968,1.110701474691112,7,2,1,nb,cut blade blade blade cut edge edge hand heave heave large metal metal,cut blade blade blade cut edge edge hand heave heave large metal metalback cut cut cut edge edge edge ,"['edge', 'metal', 'hand', 'cut', 'blade', 'heave', 'large']",13,7,"['edge', 'metal', 'hand', 'cut', 'metalback', 'blade', 'heave', 'large']",19,8
Synset('ball-peen_hammer.n.01'),tool,ball-peen_hammer,1,0,0.0,1.0129032258064516,0.9855520127540852,16,1,1,nb,ball hammer hammer metal round round round ,ball hammer hammer metal round round round ,"['hammer', 'metal', 'ball', 'round']",7,4,"['hammer', 'metal', 'ball', 'round']",7,4
Synset('beading_plane.n.01'),tool,beading_plane,1,0,0.0,1.0129032258064516,0.969908330011957,13,1,1,nb,bead bead bead bead decorate decorate color decorate hand hold hold,bead bead bead bead decorate decorate color decorate hand hold hold,"['hold', 'color', 'hand', 'decorate', 'bead']",11,5,"['hold', 'color', 'hand', 'decorate', 'bead']",11,5
Synset('bevel.n.02'),tool,bevel,1,0,0.0,0.9116129032258066,1.658230370665604,5,2,3,b,bend bend curve curve curve line ,bend bend curve curve curve line bend cube cube cube shape square square ,"['curve', 'line', 'bend']",6,3,"['curve', 'shape', 'line', 'square', 'bend', 'cube']",13,6
Synset('bill.n.08'),tool,bill,1,0,0.0,1.0129032258064516,0.5944599442008769,4,2,13,nb,bill pay pay pay ,bill pay pay pay hook fish hook hook hook ,"['bill', 'pay']",4,2,"['bill', 'hook', 'pay', 'fish']",9,4
Synset('block_plane.n.01'),tool,block_plane,1,0,0.0,1.0129032258064516,0.6257473096851335,11,1,1,nb,airplane airplane plane plane plane ,airplane airplane plane plane plane ,"['airplane', 'plane']",5,2,"['airplane', 'plane']",5,2
