Synsets,domain_x,norm,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,raw_translation,raw_translation_lemmas
Synset('adjustable_wrench.n.01'),tool,adjustable_wrench,1,7,0.0,1.0129032258064516,0.5631725787166202,17,2,1,nb,adjust change change hold hold hold screw tool ,"['adjust change change hold hold hold screw tool ', 'adjust angle angle angle rotate rotate rotate ']"
Synset('allen_wrench.n.01'),tool,allen_wrench,1,0,0.0,1.0129032258064516,0.3910920685532084,12,1,1,nb,break hold hold hold metal screw tool ,['break hold hold hold metal screw tool ']
Synset('alligator_wrench.n.01'),tool,alligator_wrench,1,0,0.0,1.0129032258064516,1.5174372259864488,16,1,1,nb,animal claw claw claw chew chew chew eat teeth teeth teeth eat fin eat teeth,['animal claw claw claw chew chew chew eat teeth teeth teeth eat fin eat teeth']
Synset('awl.n.01'),tool,awl,1,2,15.7,0.9116129032258066,0.9855520127540852,3,1,1,b,cloth cloth hand knit knit wool ,['cloth cloth hand knit knit wool ']
Synset('backsaw.n.01'),tool,backsaw,1,0,0.0,1.1141935483870968,1.110701474691112,7,2,1,nb,cut blade blade blade cut edge edge hand heave heave large metal metal,"['cut blade blade blade cut edge edge hand heave heave large metal metal', 'back cut cut cut edge edge edge ']"
Synset('ball-peen_hammer.n.01'),tool,ball-peen_hammer,1,0,0.0,1.0129032258064516,0.9855520127540852,16,1,1,nb,ball hammer hammer metal round round round ,['ball hammer hammer metal round round round ']
Synset('beading_plane.n.01'),tool,beading_plane,1,0,0.0,1.0129032258064516,0.969908330011957,13,1,1,nb,bead bead bead bead decorate decorate color decorate hand hold hold,['bead bead bead bead decorate decorate color decorate hand hold hold']
Synset('bevel.n.02'),tool,bevel,1,0,0.0,0.9116129032258066,1.658230370665604,5,2,3,b,bend bend curve curve curve line ,"['bend bend curve curve curve line ', 'bend cube cube cube shape square square ']"
Synset('bill.n.08'),tool,bill,1,0,0.0,1.0129032258064516,0.5944599442008769,4,2,13,nb,bill pay pay pay ,"['bill pay pay pay ', 'hook fish hook hook hook ']"
Synset('block_plane.n.01'),tool,block_plane,1,0,0.0,1.0129032258064516,0.6257473096851335,11,1,1,nb,airplane airplane plane plane plane ,['airplane airplane plane plane plane ']
Synset('blunt_file.n.01'),tool,blunt_file,1,0,0.0,1.0129032258064516,0.4067357512953368,10,1,1,nb,direct direct direct file file ,['direct direct direct file file ']
Synset('bodkin.n.04'),tool,bodkin,1,0,0.0,0.9116129032258066,0.7665404543642885,6,2,4,nb,bible body cloth cloth cloth cover cloth cover cover material ,"['bible body cloth cloth cloth cover cloth cover cover material ', 'thread needle needle thread thread ']"
