Synsets,domain_x,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,ngram_10y_mean,ngram_1y_mean,ngram_1y_max,ngram_5y_mean,ngram_5y_max,ngram_10y_max,ngram_20y_mean,ngram_20y_max,ngram_50y_mean,ngram_50y_max,ngram_100y_mean,ngram_100y_max,ngram_200y_mean,ngram_200y_max,ngram_400y_mean,ngram_400y_max,ngram_500y_mean,ngram_500y_max
Synset('adjustable_wrench.n.01'),tool,1,7,0.0,1.0129032258064516,0.5631725787166202,17,2,1,nb,2.4606148926174673e-08,1.7301724421214804e-08,1.3090383832459196e-08,2.332970780102861e-08,2.241656098245226e-08,2.4340553267387932e-08,2.4090506664090733e-08,3.3085399087084966e-08,2.667275294844969e-08,5.067314950979451e-08,2.2528895981084913e-08,5.067314950979451e-08,1.3804919940049304e-08,5.067314950979451e-08,6.919673087156883e-09,5.067314950979451e-08,5.3361325152882886e-09,5.067314950979451e-08
Synset('allen_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,0.3910920685532084,12,1,1,nb,1.601033666249146e-08,8.973407523982235e-09,1.0244461848274433e-08,1.350271366246103e-08,1.9716627441823675e-08,2.46997218789069e-08,1.5878623133939545e-08,3.021007605186199e-08,2.0257096725530195e-08,6.483798226097903e-08,1.5153125146918553e-08,6.483798226097903e-08,7.715051462184057e-09,6.483798226097903e-08,3.86714549600747e-09,6.483798226097903e-08,2.9821641228826836e-09,6.483798226097903e-08
Synset('alligator_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,1.5174372259864488,16,1,1,nb,1.2360221337598902e-10,3.890271785267352e-11,4.1644153403463946e-11,7.966104916915888e-11,1.5433149203047947e-10,3.2186428522429367e-10,1.680304098572978e-10,3.8504147092943697e-10,1.955061192594672e-10,5.970550165379507e-10,6.184165071877347e-10,7.804026438962275e-09,1.2375923599050267e-09,1.4993386976414058e-08,6.203393125708488e-10,1.4993386976414058e-08,4.78377046809443e-10,1.4993386976414058e-08
Synset('awl.n.01'),tool,1,2,15.7,0.9116129032258066,0.9855520127540852,3,1,1,b,2.8056081676068473e-07,3.033877193914236e-07,3.367190117842256e-07,2.810060658238929e-07,3.367190117842256e-07,3.367190117842256e-07,2.8873943313268796e-07,3.741996781325696e-07,2.8950384682999315e-07,3.7526973528656526e-07,3.5625398902621683e-07,6.002532426663265e-07,5.869817136722548e-07,2.5106645500372338e-06,6.210211356297228e-07,6.602900612051599e-06,5.069033272513658e-07,6.602900612051599e-06
Synset('backsaw.n.01'),tool,1,0,0.0,1.1141935483870968,1.110701474691112,7,2,1,nb,1.1351720450000517e-08,1.0020761874798834e-08,1.036939412113469e-08,1.0469853164417805e-08,1.0535970734748545e-08,1.0535970734748545e-08,1.3109985534334601e-08,1.4543411863687794e-08,1.6202416479629126e-08,2.4466952831814215e-08,1.7044618127279722e-08,2.4466952831814215e-08,1.4512447461297531e-08,3.507272335057099e-08,9.01890769011704e-09,2.2605051697155432e-07,6.954965353340255e-09,2.2605051697155432e-07
Synset('ball-peen_hammer.n.01'),tool,1,0,0.0,1.0129032258064516,0.9855520127540852,16,1,1,nb,1.5562112303347708e-08,1.0241471257860235e-08,1.0778390180377073e-08,1.4069326287335926e-08,1.760616419321792e-08,2.1635003122355556e-08,1.291144468456864e-08,2.1635003122355556e-08,9.762832400893617e-09,3.568784412433246e-08,8.754756243663656e-09,3.568784412433246e-08,4.640270408382452e-09,3.568784412433246e-08,2.3259210775183862e-09,3.568784412433246e-08,1.7936429847786018e-09,3.568784412433246e-08
Synset('beading_plane.n.01'),tool,1,0,0.0,1.0129032258064516,0.969908330011957,13,1,1,nb,1.0504590063959378e-10,9.588607685628858e-11,1.0848384690564927e-10,8.999282048727242e-11,1.42540007574965e-10,3.9338968194080337e-10,1.4879865230177897e-10,5.882206943752522e-10,1.8144701597703575e-10,6.096340654515586e-10,2.688484813967165e-10,2.4032191792144886e-09,3.4173648617583053e-10,5.76961678433463e-09,1.7129434843227416e-10,5.76961678433463e-09,1.3209429561796527e-10,5.76961678433463e-09
Synset('bevel.n.02'),tool,1,0,0.0,0.9116129032258066,1.658230370665604,5,2,3,b,6.170614770807911e-07,4.590747900642955e-07,4.713062322636574e-07,5.153226444384873e-07,6.259091183125065e-07,9.513883236778042e-07,6.523407395155981e-07,9.513883236778042e-07,7.357506235097734e-07,9.513883236778042e-07,1.2385287443479569e-06,2.9873584921347174e-06,1.2841064890512976e-06,3.5754640634877433e-06,7.127716568879486e-07,3.5754640634877433e-06,5.57218506949755e-07,3.5754640634877433e-06
Synset('bill.n.08'),tool,1,0,0.0,1.0129032258064516,0.5944599442008769,4,2,13,nb,6.556425256083017e-05,5.344900275874864e-05,5.400064122795811e-05,5.785751583437896e-05,6.554899647426282e-05,9.21262409292467e-05,8.865741746987737e-05,0.0001511494119768031,0.00015068180791433027,0.00029360567714320496,0.000241285202975023,0.0004965223824910936,0.0003127023561276406,0.0005435949087768677,0.00024207678927911814,0.002244416977646324,0.0002060089813773364,0.0032678527968528215
Synset('block_plane.n.01'),tool,1,0,0.0,1.0129032258064516,0.6257473096851335,11,1,1,nb,9.279609180184495e-09,4.18883155939298e-09,5.1710632581469795e-09,7.789315724833953e-09,1.654433615105866e-08,1.8560840642223297e-08,1.3099593919847709e-08,2.6974119687883658e-08,1.2959443412596152e-08,2.6974119687883658e-08,1.2478173486853081e-08,2.6974119687883658e-08,8.63917594372438e-09,3.5072724585694104e-08,4.6788154496515485e-09,1.3973063062167057e-07,3.608086529442829e-09,1.3973063062167057e-07
Synset('blunt_file.n.01'),tool,1,0,0.0,1.0129032258064516,0.4067357512953368,10,1,1,nb,1.125285521329612e-10,1.249324636798388e-10,2.498649273596776e-10,1.0397322470582597e-10,2.766068207815664e-10,3.430390971281838e-10,1.217454526742088e-10,3.430390971281838e-10,1.7170111451917316e-10,7.708422233854151e-10,3.7340590252681834e-10,2.318808922652238e-09,3.489958067217017e-10,7.2086068225729605e-09,2.2600461286657053e-10,1.2801790738592445e-08,1.742843264605669e-10,1.2801790738592445e-08
