Synsets,domain_x,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,ngram_2009_2019_original_sleep,ngram_2009_2019_updata_sleep
Synset('adjustable_wrench.n.01'),tool,1,7,0.0,1.0129032258064516,0.5631725787166202,17,2,1,nb,2.4606148926174673e-08,2.4606148926174673e-08
Synset('allen_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,0.3910920685532084,12,1,1,nb,1.601033666249146e-08,1.601033666249146e-08
Synset('alligator_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,1.5174372259864488,16,1,1,nb,1.2360221337598902e-10,1.2360221337598902e-10
Synset('awl.n.01'),tool,1,2,15.7,0.9116129032258066,0.9855520127540852,3,1,1,b,2.8056081676068473e-07,2.8056081676068473e-07
Synset('backsaw.n.01'),tool,1,0,0.0,1.1141935483870968,1.110701474691112,7,2,1,nb,1.1351720450000517e-08,1.1351720450000517e-08
Synset('ball-peen_hammer.n.01'),tool,1,0,0.0,1.0129032258064516,0.9855520127540852,16,1,1,nb,1.5562112303347708e-08,1.5562112303347708e-08
Synset('beading_plane.n.01'),tool,1,0,0.0,1.0129032258064516,0.969908330011957,13,1,1,nb,1.0504590063959378e-10,1.0504590063959378e-10
Synset('bevel.n.02'),tool,1,0,0.0,0.9116129032258066,1.658230370665604,5,2,3,b,6.170614770807911e-07,6.170614770807911e-07
Synset('bill.n.08'),tool,1,0,0.0,1.0129032258064516,0.5944599442008769,4,2,13,nb,6.556425256083017e-05,6.556425256083017e-05
Synset('block_plane.n.01'),tool,1,0,0.0,1.0129032258064516,0.6257473096851335,11,1,1,nb,9.279609180184495e-09,9.279609180184495e-09
Synset('blunt_file.n.01'),tool,1,0,0.0,1.0129032258064516,0.4067357512953368,10,1,1,nb,1.125285521329612e-10,1.125285521329612e-10
Synset('bodkin.n.04'),tool,1,0,0.0,0.9116129032258066,0.7665404543642885,6,2,4,nb,1.926010812995018e-07,1.926010812995018e-07
Synset('box_wrench.n.01'),tool,1,0,7.85,1.0129032258064516,1.1263451574332404,10,2,1,nb,3.945270762230966e-09,3.945270762230966e-09
Synset('brace_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,1.2671383021123954,12,1,1,nb,1.1975846135477267e-11,1.1975846135477267e-11
Synset('bradawl.n.01'),tool,1,0,0.0,1.0129032258064516,0.8604025508170586,7,2,2,nb,3.8363960293275046e-08,3.8363960293275046e-08
Synset('brick_trowel.n.01'),tool,1,0,0.0,1.0129032258064516,0.3754483858110801,12,2,1,nb,3.240954470704806e-09,3.240954470704806e-09
Synset('bricklayer's_hammer.n.01'),tool,1,0,0.0,1.0129032258064516,0.4693104822638501,19,1,1,nb,3.0172335337268083e-10,3.0172335337268083e-10
Synset('bucksaw.n.01'),tool,1,0,0.0,1.0129032258064516,1.7051614188919888,7,1,1,nb,5.946169522988179e-09,5.946169522988179e-09
Synset('bulldog_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,0.8291151853328019,14,1,1,nb,0.0,0.0
Synset('bullnose.n.01'),tool,1,0,0.0,1.0129032258064516,0.969908330011957,8,2,1,nb,1.7591332885003534e-08,1.7591332885003534e-08
Synset('can_opener.n.01'),tool,1,1,0.0,1.0129032258064516,0.4693104822638501,10,2,1,b,1.5110244170032675e-07,1.5110244170032675e-07
Synset('carpenter's_hammer.n.01'),tool,1,0,0.0,1.0129032258064516,0.7821841371064169,10,3,1,nb,5.894020209490622e-08,5.894020209490622e-08
Synset('carpenter's_mallet.n.01'),tool,1,0,0.0,1.1141935483870968,1.157632522917497,18,1,1,nb,8.171900343911798e-10,8.171900343911798e-10
Synset('carpenter's_square.n.01'),tool,1,0,0.0,1.0129032258064516,0.922977281785572,18,1,1,nb,1.1472717624401567e-08,1.1472717624401567e-08
Synset('carriage_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,0.7039657233957752,15,1,1,nb,3.5669470533804635e-11,3.5669470533804635e-11
Synset('chain_tongs.n.01'),tool,1,1,7.85,1.215483870967742,2.2526903148664807,11,1,1,nb,3.7351653777515574e-10,3.7351653777515574e-10
Synset('chain_wrench.n.01'),tool,1,0,0.0,1.3167741935483872,0.4380231167795934,12,1,1,nb,1.1222244781177776e-09,1.1222244781177776e-09
Synset('chamfer_plane.n.01'),tool,1,0,0.0,1.0129032258064516,0.5162415304902351,13,1,1,nb,2.61105930437539e-10,2.61105930437539e-10
Synset('church_key.n.01'),tool,1,0,0.0,1.1141935483870968,1.157632522917497,10,1,1,nb,1.14885579452495e-08,1.14885579452495e-08
Synset('circular_plane.n.01'),tool,1,0,0.0,1.0129032258064516,1.0950577919489837,13,2,1,nb,6.043004756002179e-09,6.043004756002179e-09
Synset('coal_shovel.n.01'),tool,1,0,0.0,1.0129032258064516,0.5005978477481068,11,1,1,nb,7.695806998608834e-09,7.695806998608834e-09
Synset('combination_plane.n.01'),tool,1,0,0.0,1.0129032258064516,1.0950577919489837,17,1,1,nb,8.747582002189735e-10,8.747582002189735e-10
Synset('compass_saw.n.01'),tool,1,0,0.0,1.1141935483870968,0.922977281785572,11,1,1,nb,3.2100250875971067e-09,3.2100250875971067e-09
Synset('coping_saw.n.01'),tool,1,0,0.0,1.1141935483870968,1.110701474691112,10,1,1,nb,1.4700833349572496e-08,1.4700833349572496e-08
Synset('crescent_wrench.n.01'),tool,1,0,0.0,1.1141935483870968,1.7208051016341173,15,1,1,nb,1.371170037392006e-08,1.371170037392006e-08
Synset('crosscut_saw.n.01'),tool,1,0,0.0,1.1141935483870968,0.969908330011957,10,3,1,nb,2.3065111643859704e-08,2.3065111643859704e-08
Synset('crown_saw.n.01'),tool,1,0,0.0,1.0129032258064516,0.8604025508170586,9,1,1,nb,2.179159309755924e-09,2.179159309755924e-09
Synset('dado_plane.n.01'),tool,1,0,0.0,1.1141935483870968,0.5005978477481068,10,1,1,nb,2.3485859090843775e-10,2.3485859090843775e-10
Synset('ditch_spade.n.01'),tool,1,0,0.0,1.1141935483870968,0.8291151853328019,11,2,1,nb,1.7493133993119368e-09,1.7493133993119368e-09
Synset('dog_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,0.6570346751693902,10,1,1,nb,1.2952434579428416e-10,1.2952434579428416e-10
Synset('dovetail_plane.n.01'),tool,1,0,0.0,1.0129032258064516,1.063770426464727,14,1,1,nb,8.284224632040058e-11,8.284224632040058e-11
Synset('entrenching_tool.n.01'),tool,1,0,0.0,1.0129032258064516,0.8916899163013152,15,2,1,nb,2.477481377183793e-08,2.477481377183793e-08
Synset('file.n.04'),tool,1,7,7.85,0.9116129032258066,1.6425866879234754,4,1,9,b,6.87938426463833e-05,6.87938426463833e-05
Synset('flat_file.n.01'),tool,1,0,0.0,1.0129032258064516,0.4536667995217218,9,1,1,nb,7.711129100655563e-08,7.711129100655563e-08
Synset('flat_tip_screwdriver.n.01'),tool,1,0,0.0,1.0129032258064516,1.3610003985651653,20,1,1,nb,2.0762964579968855e-10,2.0762964579968855e-10
Synset('float.n.05'),tool,1,0,0.0,0.9116129032258066,1.6269430051813472,5,2,16,b,6.770114336799506e-06,6.770114336799506e-06
Synset('folding_saw.n.01'),tool,1,0,0.0,1.0129032258064516,1.2671383021123954,11,1,1,nb,2.1725070006861635e-09,2.1725070006861635e-09
Synset('fore_plane.n.01'),tool,1,0,0.0,1.0129032258064516,1.1419888401753686,10,1,1,nb,8.960820917351549e-10,8.960820917351549e-10
Synset('garden_spade.n.01'),tool,1,0,0.0,1.1141935483870968,0.3910920685532084,12,1,1,nb,9.79669428282446e-09,9.79669428282446e-09
Synset('garden_trowel.n.01'),tool,1,0,0.0,1.0129032258064516,0.4067357512953368,13,1,1,nb,8.261428469670666e-09,8.261428469670666e-09
Synset('gavel.n.01'),tool,1,0,0.0,1.1141935483870968,0.8291151853328019,5,1,1,nb,4.475710422078485e-07,4.475710422078485e-07
Synset('hacksaw.n.01'),tool,1,0,0.0,1.0129032258064516,0.6257473096851335,7,3,1,nb,1.5656870536552192e-07,1.5656870536552192e-07
Synset('hammer.n.02'),tool,1,9,15.7,0.9116129032258066,1.5017935432443204,6,1,10,b,8.52159371204793e-06,8.52159371204793e-06
Synset('hand_shovel.n.01'),tool,2,6,0.0,0.9116129032258066,0.5162415304902351,11,1,1,nb,4.652520352562997e-09,4.652520352562997e-09
Synset('hand_tool.n.01'),tool,1,156,7.85,0.8103225806451614,0.4849541650059785,9,1,1,nb,7.9949794476705e-08,7.9949794476705e-08
Synset('handsaw.n.01'),tool,1,8,0.0,1.0129032258064516,0.6413909924272618,7,3,1,nb,8.557801606245974e-08,8.557801606245974e-08
Synset('hook_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,0.8447588680749303,11,2,1,nb,2.219021245162469e-10,2.219021245162469e-10
Synset('icepick.n.01'),tool,1,0,7.85,1.0129032258064516,1.3297130330809086,7,2,1,b,1.531685314897956e-07,1.531685314897956e-07
Synset('jack_plane.n.01'),tool,1,0,0.0,1.0129032258064516,0.6101036269430051,10,1,1,nb,7.840757417069839e-09,7.840757417069839e-09
Synset('jointer.n.01'),tool,1,0,0.0,1.0129032258064516,1.3140693503387804,7,4,1,nb,4.639323449112917e-08,4.8298523218738183e-08
Synset('keyhole_saw.n.01'),tool,1,0,0.0,1.1141935483870968,1.4392188122758072,11,1,1,nb,6.284031494027423e-09,6.284031494027423e-09
Synset('locking_pliers.n.01'),tool,1,0,0.0,1.0129032258064516,0.5318852132323635,14,1,1,nb,8.037938982022067e-09,8.037938982022067e-09
Synset('lug_wrench.n.01'),tool,1,0,7.85,1.0129032258064516,1.3610003985651653,10,1,1,nb,1.72865581079338e-08,1.72865581079338e-08
Synset('match_plane.n.01'),tool,1,0,0.0,1.0129032258064516,1.4235751295336787,11,2,1,nb,4.4362260235247304e-10,4.4362260235247304e-10
Synset('maul.n.01'),tool,1,0,0.0,1.0129032258064516,0.9073335990434436,4,3,5,nb,1.7713890298829618e-06,1.7713890298829618e-06
Synset('miter_box.n.01'),tool,1,0,0.0,0.9116129032258066,1.0324830609804705,9,2,1,b,1.3113693521865139e-08,1.3113693521865139e-08
Synset('monkey-wrench.n.01'),tool,1,0,0.0,1.1141935483870968,0.922977281785572,13,2,1,nb,8.879039183031336e-08,8.879039183031336e-08
Synset('nailfile.n.01'),tool,1,0,0.0,1.0129032258064516,0.6101036269430051,8,1,1,nb,1.957631269210548e-09,1.957631269210548e-09
Synset('needlenose_pliers.n.01'),tool,1,0,0.0,1.0129032258064516,0.7196094061379036,17,1,1,nb,4.880984137700661e-09,4.880984137700661e-09
Synset('open-end_wrench.n.01'),tool,1,1,0.0,1.0129032258064516,1.3140693503387804,13,2,1,nb,7.333502621452815e-09,7.333502621452815e-09
Synset('openside_plane.n.01'),tool,1,1,0.0,1.0129032258064516,0.6726783579115185,12,2,1,nb,2.135884133068856e-09,2.135884133068856e-09
Synset('palette_knife.n.01'),tool,1,0,0.0,1.0129032258064516,1.173276205659625,13,1,1,nb,9.300619942632547e-08,9.300619942632547e-08
Synset('pestle.n.03'),tool,1,0,0.0,0.9116129032258066,1.0950577919489837,6,1,4,b,5.383125163405111e-07,5.383125163405111e-07
Synset('phillips_screwdriver.n.01'),tool,1,0,0.0,1.0129032258064516,0.6570346751693902,20,1,1,nb,1.4294663937390468e-08,1.4294663937390468e-08
Synset('pick.n.06'),tool,1,2,0.0,0.9116129032258066,0.9073335990434436,4,1,21,nb,4.196224238677876e-05,4.196224238677876e-05
Synset('pin_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,1.3297130330809086,10,1,1,nb,3.4735456619613714e-10,3.4735456619613714e-10
Synset('pincer.n.01'),tool,1,1,0.0,0.9116129032258066,1.0481267437225987,6,4,2,b,4.455604578219989e-07,4.455604578219989e-07
Synset('pipe_wrench.n.01'),tool,1,3,0.0,1.1141935483870968,1.673874053407732,11,2,1,nb,2.4706041299903492e-08,2.4706041299903492e-08
Synset('pitchfork.n.01'),tool,1,0,7.85,0.9116129032258066,1.3297130330809086,9,1,2,b,4.3300355624286235e-07,4.3300355624286235e-07
Synset('pitsaw.n.01'),tool,1,0,0.0,1.1141935483870968,1.845954563571144,6,1,1,nb,5.003475310839566e-10,5.003475310839566e-10
Synset('plane.n.05'),tool,2,17,0.0,0.9116129032258066,1.2202072538860105,5,3,9,b,4.304099635016481e-05,4.304099635016481e-05
Synset('plastering_trowel.n.01'),tool,1,0,0.0,1.0129032258064516,0.6570346751693902,17,1,1,nb,3.0649743822487206e-10,3.0649743822487206e-10
Synset('plexor.n.01'),tool,1,0,0.0,1.0129032258064516,1.7677361498605022,6,3,1,nb,1.026026782065133e-08,1.026026782065133e-08
Synset('pliers.n.01'),tool,2,5,7.85,0.9116129032258066,1.0794141092068552,6,3,2,b,8.882188090428794e-07,8.882188090428794e-07
Synset('plunger.n.03'),tool,1,0,0.0,0.9116129032258066,1.533080908728577,7,2,4,b,6.922236881390881e-07,6.922236881390881e-07
Synset('pointing_trowel.n.01'),tool,1,0,0.0,1.0129032258064516,1.0794141092068552,15,1,1,nb,2.1589371884299757e-09,2.1589371884299757e-09
Synset('posthole_digger.n.01'),tool,1,0,0.0,1.0129032258064516,0.4849541650059785,15,2,1,nb,1.2612536236686596e-08,1.2612536236686596e-08
Synset('pruner.n.02'),tool,1,0,0.0,1.215483870967742,1.6895177361498606,6,3,2,nb,4.4134415714850134e-08,4.4134415714850134e-08
Synset('pruning_saw.n.01'),tool,1,1,0.0,1.1141935483870968,0.5005978477481068,11,1,1,nb,8.677595268294118e-09,8.677595268294118e-09
Synset('pump-type_pliers.n.01'),tool,1,0,0.0,1.0129032258064516,0.2502989238740534,16,1,1,nb,0.0,0.0
Synset('rasp.n.02'),tool,1,0,0.0,1.0129032258064516,0.6883220406536469,4,2,4,nb,6.745626147856337e-07,6.745626147856337e-07
Synset('rat-tail_file.n.01'),tool,1,0,0.0,1.0129032258064516,0.7352530888800318,13,1,1,nb,1.9656591414537764e-09,1.9656591414537764e-09
Synset('rib_joint_pliers.n.01'),tool,1,0,0.0,1.0129032258064516,0.2502989238740534,16,1,1,nb,6.232303845978635e-11,6.232303845978635e-11
Synset('ripsaw.n.01'),tool,1,0,0.0,1.1141935483870968,0.7508967716221602,6,2,1,nb,1.2127060820821267e-08,1.2127060820821267e-08
Synset('roach_clip.n.01'),tool,1,0,0.0,1.0129032258064516,0.8760462335591869,10,2,1,nb,5.456842851949493e-09,5.456842851949493e-09
Synset('round_file.n.01'),tool,1,0,0.0,1.0129032258064516,1.0950577919489837,10,1,1,nb,9.592480043240193e-09,9.592480043240193e-09
Synset('router_plane.n.01'),tool,1,0,0.0,1.0129032258064516,1.392287764049422,12,1,1,nb,1.4316936913152188e-09,1.4316936913152188e-09
Synset('s_wrench.n.01'),tool,1,0,0.0,1.1141935483870968,0.5005978477481068,8,1,1,nb,1.298055530487361e-09,1.298055530487361e-09
Synset('saw.n.02'),tool,1,16,15.7,0.9116129032258066,0.6883220406536469,3,1,28,b,0.00022839619883928788,0.00022839619883928788
Synset('scauper.n.01'),tool,1,0,0.0,1.0129032258064516,1.0481267437225987,7,2,1,nb,1.0035335390961625e-09,1.0035335390961625e-09
Synset('scoop.n.05'),tool,1,0,15.7,1.0129032258064516,0.6726783579115185,5,2,8,nb,2.7931389911891264e-06,2.7931389911891264e-06
Synset('screw_key.n.01'),tool,1,0,0.0,1.0129032258064516,0.4380231167795934,9,1,1,nb,4.442658431792378e-10,4.442658431792378e-10
Synset('screw_wrench.n.01'),tool,1,0,0.0,1.1141935483870968,1.157632522917497,12,1,1,nb,1.5656500767564036e-09,1.5656500767564036e-09
Synset('screwdriver.n.01'),tool,1,3,0.0,0.9116129032258066,1.1889198884017538,11,1,2,b,8.136901949804745e-07,8.136901949804745e-07
Synset('scriber.n.01'),tool,1,0,0.0,1.0129032258064516,0.8604025508170586,6,3,5,nb,2.4834541958587317e-06,2.4834541958587317e-06
Synset('scrub_plane.n.01'),tool,1,0,0.0,1.0129032258064516,0.8760462335591869,11,1,1,nb,6.484185136424913e-10,6.484185136424913e-10
Synset('set_square.n.01'),tool,1,0,0.0,1.1141935483870968,0.6883220406536469,10,1,1,nb,2.476037592508645e-08,2.476037592508645e-08
Synset('shovel.n.01'),tool,1,9,0.0,0.9116129032258066,1.4392188122758072,6,1,5,b,2.515457373549039e-06,2.515457373549039e-06
Synset('slice.n.06'),tool,1,0,0.0,1.0129032258064516,0.5631725787166202,5,1,10,nb,8.931258755431124e-06,8.931258755431124e-06
Synset('slick.n.04'),tool,1,0,0.0,1.0129032258064516,0.5788162614587485,5,1,10,nb,3.894264957373459e-06,3.894264957373459e-06
Synset('slip-joint_pliers.n.01'),tool,1,0,0.0,1.0129032258064516,1.4392188122758072,17,1,1,nb,2.655076842411619e-09,2.655076842411619e-09
Synset('smooth_plane.n.01'),tool,1,0,0.0,1.0129032258064516,0.4536667995217218,12,2,1,nb,2.106328667008207e-08,2.106328667008207e-08
Synset('socket_wrench.n.01'),tool,1,0,7.85,1.0129032258064516,1.157632522917497,13,1,1,nb,2.175814617051307e-08,2.175814617051307e-08
Synset('soldering_iron.n.01'),tool,1,0,0.0,0.9116129032258066,0.969908330011957,14,1,1,b,8.684584325922208e-08,8.684584325922208e-08
Synset('sparkplug_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,1.6112993224392187,16,1,1,nb,6.157067469506313e-11,6.157067469506313e-11
Synset('spiral_ratchet_screwdriver.n.01'),tool,1,0,7.85,1.0129032258064516,2.471701873256277,19,2,1,nb,1.6561388999459701e-09,1.6561388999459701e-09
Synset('spokeshave.n.01'),tool,1,0,0.0,1.0129032258064516,2.221402949382224,10,1,1,nb,1.3789013207138828e-08,1.3789013207138828e-08
Synset('spud.n.02'),tool,1,0,0.0,1.0129032258064516,0.7978278198485452,4,2,4,nb,3.414084589582377e-07,3.414084589582377e-07
Synset('square.n.08'),tool,1,4,0.0,0.9116129032258066,1.5487245914707055,6,1,25,b,5.4122292981033255e-05,5.4122292981033255e-05
Synset('stillson_wrench.n.01'),tool,1,0,0.0,1.215483870967742,1.5800119569549622,15,1,1,nb,1.4722404968116963e-09,1.4722404968116963e-09
Synset('straightedge.n.01'),tool,1,0,0.0,0.9116129032258066,2.1431845356715824,12,1,1,b,1.2062011971055012e-07,1.2062011971055012e-07
Synset('t-square.n.01'),tool,2,0,0.0,0.9116129032258066,0.7665404543642885,8,1,1,nb,3.137588954558381e-08,3.137588954558381e-08
