norm,KBNC_1m_Count
stopped,325
Doctor,94
slowed,24
prayers,15
up,3676
was,12218
down,2056
and,20951
a,16596
Mungo,500
public,25
simple,56
soon,303
arrived,119
‘,23964
thought,1263
the,38591
do,3439
became,136
saw,742
noise,163
metric,20
",",48332
five,135
Ban,25
dark,308
pattern,36
see,1536
Scared,5
stupid,124
she,7170
What,1600
reverence,4
all,3318
—,3116
wish,130
No,875
attaching,1
you,9250
Holidays,2
sank,42
National,12
news,86
reported,9
to,20157
Or,182
truthfully,5
told,679
that,7325
n't,7155
place,522
!,5716
secret,79
as,4122
on,6099
gate,192
wood,155
’,23400
Telling,3
.,60402
for,4850
too,1052
Simon,279
insistent,7
it,9130
warn,23
Masklin,475
You,2278
different,238
in,10145
try,256
've,1292
Australia,18
If,749
said,6996
Saturdee,1
walking,129
's,8903
struggled,42
opportunity,16
we,1867
now,1381
round,780
standing,213
I,10989
have,3059
But,2109
mouth,254
Dot,515
had,5870
giant,62
e,18
Mary,133
Typical,2
sufferance,2
listening,94
baby,135
women,85
fear,101
go,1390
with,5231
least,190
Angalo,267
knocked,63
through,913
They,1532
after,780
again,1025
drive,79
stood,468
put,803
of,14372
hedgehog,53
any,849
when,1688
worrying,26
understood,57
Marie,370
His,479
names,65
ai,114
his,6296
were,2814
also,165
time,1419
Erika,381
into,2124
Tug,156
brief,26
comfort,32
leaves,107
did,2453
but,3027
p.m.,7
Maurice,5
towards,389
been,1702
?,8298
Emily,217
knowledgeably,1
paper,204
…,1558
admitted,31
room,596
herself,520
hand,637
must,826
The,4040
touch,88
Philip,775
Rainbows,19
their,1462
at,4905
one,2307
want,820
her,7453
castle,57
angle,74
let,480
mind,485
He,4571
Endill,477
pianist,1
looks,98
volcano,5
And,1929
'll,1848
them,2732
is,3317
until,406
by,1874
ca,597
lamps,13
smaller,58
probably,168
padre,1
concocted,1
bell,44
overdone,2
this,2124
It,3308
Bridge,9
stone,128
or,1594
began,501
;,964
he,8125
dried,21
believe,289
ran,392
shoes,117
if,1957
hospital,79
cleared,46
Comes,1
so,2114
stream,21
yes,149
coming,325
further,87
Fishy,1
got,1297
face,838
more,1147
Just,268
Too,26
an,1553
Carrie,533
white,354
whatever,76
asked,870
dozen,23
what,2185
my,1678
bed,348
When,558
could,2434
held,215
Heading,2
during,82
where,878
are,1869
pride,28
other,932
nearly,168
anywhere,73
clachan,18
small,508
despite,23
large,288
kindling,2
best,237
especially,73
Auntie,123
branches,54
goes,100
showing,51
Barry,46
me,2431
flowers,125
container,20
staring,119
Ken,56
George,153
intently,22
ski,2
Mrs,767
under,468
sheets,20
Gloria,333
wake,30
looked,1336
month,56
shutters,7
out,3451
door,755
near,190
ladyship,1
learnt,37
mass,23
radio,35
She,3477
African,15
halfway,24
Honey,349
front,393
slope,33
some,977
day,763
Work,24
beast,66
whisper,21
warned,38
be,3731
two,942
meanwhile,7
come,843
My,302
read,265
:,1068
Phillips,10
despair,17
went,901
cheeks,68
tonight,82
moment,385
new,389
bars,26
bloke,13
swum,2
sea,163
landmarks,4
Moscow,2
open,333
nose,123
yet,217
frantically,26
car,328
much,782
head,851
from,2525
branch,67
using,99
imaginary,8
jinking,1
forest,99
argue,30
timer,1
peacocks,5
brothers,34
ever,467
Breeze,370
delight,26
styles,2
ten,141
back,1934
fence,64
self,24
coat,87
vole,17
Wednesday,44
stubborn,9
voice,504
word,245
sorry,187
around,523
knew,638
Cheryl,45
straight,186
deep,185
),673
wandered,22
rose,88
money,272
1,303
very,1223
twitched,8
cancelling,8
marshmallows,1
Susan,197
twelve,29
pointed,98
8,83
friend,204
Sylvester,39
without,354
year,155
After,218
pink,96
Walter,64
waving,25
TO,32
building,97
Harriet,96
Hoomey,251
suggested,55
Her,308
than,823
its,624
right,1081
Jazz,116
Going,11
your,1835
take,631
Phyllis,2
wore,58
who,1285
make,702
himself,566
added,156
stepfather,33
tights,5
Wormwood,73
common,50
us,710
upon,66
sell,42
criticized,1
human,142
tree,189
camouflage,10
scared,106
yelled,75
bit,434
waited,120
no,1534
nests,12
Cooking,5
being,529
fast,141
offered,41
high,216
each,506
work,418
Do,678
'cause,2
Blessington-Dalrymple,5
reverse,18
short,159
HEAD,4
Councillor,3
hostess,2
Billy,122
Thank,103
Joe,81
bus,98
waded,5
dear,255
while,450
depths,8
they,3316
terrifying,16
him,4022
then,1690
indistinct,3
slipped,74
We,949
sand,34
will,990
has,651
train,131
world,310
imagine,67
filled,104
preoccupied,6
hour,125
John,102
smell,76
brother,167
Three,57
method,32
would,2207
away,1035
not,3211
indignant,9
house,588
class,145
made,829
drank,39
tedious,3
TREE,4
once,403
Hopeless,3
willing,36
following,183
order,81
crushed,16
great,398
later,193
gods,11
rate,23
Death,5
Couple,1
flag,17
precious,19
hear,285
prey,7
country,198
find,552
top,343
blackberries,8
along,429
fumbled,5
pulpit,8
fact,158
Reading,7
yearly,1
Miss,953
kilted,1
having,224
In,573
get,1347
today,126
kept,234
tiny,172
uses,12
teacher,105
contrasting,1
THREE,2
folded,40
feel,309
GRACIOUS,1
might,572
opened,259
Forget,6
WILL,8
asleep,95
total,33
9,73
pork-pie,2
another,536
Rope,1
fresh,63
know,1591
envelope,38
Jess,329
compliment,4
angles,84
used,327
prepared,41
rewarded,6
pay,73
just,1403
dismay,13
Christmas,182
Why,461
listen,87
pulling,78
mother,478
think,1093
Davos,25
even,717
before,845
ceiling,48
same,407
detective,7
Earth,51
old,852
Nordern,389
That,983
pans,7
guest,14
A,1118
change,144
like,2569
Chasers,1
Malta,4
father,457
Ray,55
goaded,3
say,768
answer,216
Blow,4
curling,5
organisations,2
night,462
completely,61
using-the,1
wait,139
natural,40
expected,67
nightshirt,3
ahead,90
navy,12
choice,41
One,247
rest,214
Anabelle,150
knocking,33
leave,248
September,13
thin,123
course,395
fish,59
focused,8
stared,217
because,648
Cap'n,33
London,90
alert,19
As,402
hard,323
never,804
kid,19
