norm,BNC_1m_Count
of,27258
week,272
customers,58
couple,103
have,4065
still,626
‘,6888
and,23674
mellion,1
they,3756
figures,101
’,6690
are,4044
.,42094
chapter,159
keep,243
mm/hr,1
delicious,9
to,23173
tries,7
said,1708
up,1830
's,6973
rules,105
in,17374
national,346
at,4686
you,6023
jennifer,6
billy,17
was,7794
there,2925
final,155
wishing,14
erm,622
end,434
the,54135
factor,59
if,2227
she,3224
had,3828
entertainment,11
i,7790
from,3832
completely,82
able,251
it,9384
class,179
that,10103
faster,25
modernization,5
senator,10
agreement,129
reason,148
would,2158
menu,16
programme,168
asked,253
health,217
take,595
andersen,1
tachistoscopic,1
probably,225
manager,131
mistaken,8
rock,62
try,200
we,3126
a,19497
paul,101
people,1085
published,92
muddy,5
those,783
good,735
part,505
do,2381
my,1306
stares,3
across,206
for,7937
father,197
who,1806
memory,68
all,2507
over,1217
including,207
taxi,16
closely,49
",",44686
examination,44
stitches,8
an,3057
down,788
considerable,83
palace,46
get,859
line,203
open,268
is,8962
different,475
£2,7
—,2443
doing,248
local,446
he,5747
formation,34
laurance,2
profit,54
camera,18
xs,2
under-secretaries,1
per,515
moore,13
than,1328
when,1844
this,4013
shame,12
race,70
everyone,122
!,1326
two,1336
non-handicapped,1
montagne,1
paths,12
labour,236
his,3591
activity,90
but,3997
number,455
pricing,10
picture,98
fossils,9
very,1021
once,327
doubt,113
),3469
young,290
prescribed,13
virtual,6
topic,18
inconvenient,6
as,5846
blood,93
bring,128
brave,18
positive,85
(,3448
could,1458
be,5803
english,177
by,4644
arms,90
however,530
gripping,6
amount,145
hungry,19
crabb,1
little,566
proceed,16
cr,3
subject,193
on,6575
her,2772
chris,51
think,786
acknowledge,19
mentioned,74
eased,12
detected,21
cheered,6
year,652
developed,114
royal,144
bathing,6
necessarily,53
engineered,5
commands,6
can,2015
bush,29
1985,55
construction,59
why,425
planting,10
place,387
provided,153
question,187
expect,103
going,556
power,290
officials,56
thither,1
well-known,12
need,497
because,853
unfortunately,36
er,787
pp.,50
grupo,1
recently,110
aspects,69
15,100
annexe,2
money,345
2-hydroxyethyldithiocarbamate,1
charter,19
permission,29
block,38
attended,32
well,1257
faint,15
lead,129
've,778
flexible,23
light,214
organizing,7
focus,54
reminded,16
technology,123
june,117
own,642
may,1095
against,466
?,3507
lift,42
party,362
course,453
hall,104
dentists,3
8¼,1
or,3213
say,641
;,1872
many,799
liverpool,49
rhaetian,1
evolutionary,8
yet,298
twin,27
held,265
into,1368
agreements,34
s95,1
wear,42
came,412
"""",1266
were,2865
see,1014
0793-514514,1
beirut,8
paper,129
believes,35
colour,113
temperature,40
turtles,1
something,483
constitutes,7
dome,11
hypertension,4
woman,193
lives,90
phytoplankton,1
exceptional,17
make,684
drives,13
list,116
boer,1
want,508
lab,5
animal,51
change,275
holding,80
analysis,128
too,610
champions,13
flat,81
john,311
reproduction,11
puppy,2
al,40
come,577
vertically,2
remarked,14
hurtarte,1
wales,94
mrs,160
devastation,6
experiences,28
changing,54
much,829
1916,3
compared,93
magnus,1
trying,162
civilian,16
katrine,1
face,291
some,1446
which,3221
non-insulin,1
simple,137
station,76
years,828
green,131
**altered,1
bates,7
help,312
eyes,240
main,205
taken,297
with,5853
n't,2831
what,2140
packers,2
your,1232
few,386
world,509
yourself,88
nudity,2
him,1356
nowhere,15
like,1372
anonymous,12
inc,62
wheeled,5
although,396
mr.,135
share,118
captain,53
thing,313
surprise,49
speed,77
oddly,4
life,515
just,1111
so,2138
show,215
should,956
quickly,106
jurisprudence,2
spoken,19
park,122
before,741
pushed,47
skirts,8
better,314
emphasised,4
me,1153
pensioner,5
21,43
now,1233
side,317
does,573
london,303
day,579
adolescents,7
beauty,47
asking,52
utterly,10
bristol,31
scores,15
mask,13
dad,67
central,155
started,130
gaze,15
told,353
'd,564
forms,110
innovative,13
same,576
inexperienced,7
creole,5
darlington,50
meteor,2
appearance,53
youth,50
ordered,33
government,560
influence,76
running,133
level,227
predictably,8
turned,224
major,263
real,211
sold,77
give,422
mercats,1
way,873
ouch,1
dared,6
port,37
best,308
rose,92
their,2243
hear,107
done,290
k,18
nor,115
punishing,4
november,78
small,375
floated,4
stream,16
work,799
watching,52
heavy,82
enter,46
defect,13
went,401
did,1158
ring,80
reasons,104
two-dimensional,6
fact,334
new,1073
am,223
responsible,94
peaches,6
more,1965
orkney,11
without,407
crash,21
range,198
likes,31
middle,123
protein,22
learners,6
public,341
any,1119
flyer,3
products,96
offer,129
extend,32
wierdsma,1
bitumen,4
weak,23
himself,275
5,158
plenty,39
lord,138
surveyors,9
peter,117
glared,6
p.,117
every,360
choir-boy,1
join,72
record,128
temperaments,1
splashing,2
nil,9
know,1065
ran,84
road,221
dhss,11
distance,52
not,3973
foundation,39
fossil,10
r.a.f.,1
back,868
flint,4
food,189
plays,24
far,341
proximity,8
dr,76
exile,10
routes,24
start,217
must,643
itself,206
being,723
fatal,16
inevitably,24
bombs,10
homes,51
agent,44
wondered,32
powder,14
wish,97
united,178
president,160
prosperity,10
since,444
forestry,12
northern,98
1920s,16
50g/2oz,1
oxford,85
personal,163
reflected,30
proved,72
duffer,1
attempting,18
yeah,685
variety,64
allow,99
1955,7
developing,57
after,1021
move,191
important,327
a.,39
out,1773
practical,69
hobby,8
ask,188
okay,93
belvedere,4
quilt,1
knee,20
alkaline,4
consisting,14
tony,53
brief,63
feelings,49
where,1010
discarded,8
apparently,62
basis,130
care,215
mississippi,2
large,318
information,333
conservative,69
waterfowl,1
has,2331
joined,63
occasions,25
hoses,2
historicity,1
championship,23
happens,59
1979,39
briskly,2
demand,97
acquires,1
control,227
undoers,1
four,427
union,152
language,180
wound,24
cheap,43
observers,19
dull,23
informal,23
special,204
"£80,000–120,000",1
places,108
petal,1
feminism,8
no,2072
high,352
only,1312
30,95
apart,75
believe,213
hands,154
combustible,1
offence,31
d,76
silent,34
markowitz,1
husbands,8
breathing,25
necessary,177
contact,91
enclosed,16
gave,199
conformity,6
love,195
highest,48
knowledge,108
cards,30
school,324
support,285
joke,18
northumberland,8
prohibited,11
consolidated,7
tax,134
first,1056
having,292
environmental,77
integration,21
types,74
set,414
might,505
its,1447
cool,25
verse,15
deliveries,6
disease,83
bridge,57
award,156
archbishop,12
officer,66
holidays,28
entire,54
mummy,21
car,232
powell,10
secretaries,5
literature,42
20,127
largely,59
dependent,35
days,280
collapse,24
[,291
during,401
rearranged,3
formal,60
students,130
sort,193
experience,183
together,272
liability,42
earlier,153
lecture,20
hopefuls,2
been,2362
will,2306
taking,194
kidlington,1
workers,124
applicable,12
challenges,12
object,52
remarkably,9
targon,1
toffs,1
hoped,58
relationship,113
monopoly,17
mm,325
enquiring,4
invariably,18
"£8,500",1
eglantine,1
around,392
wings,24
downwards,6
examinations,13
front-runner,3
effects,95
material,117
planes,9
curve,22
win,98
other,1418
robert,77
catering,13
opinion,75
colonel,21
imposed,37
frenchwoman,1
even,799
three,710
aragon,4
widened,8
masterminded,3
nan,5
evil,19
deep,91
chorus/mix,1
such,1008
play,200
screen,50
potential,90
hat,26
behind,204
georgiades,2
book,227
cavagna,1
community,215
proposals,79
martin,40
these,1146
writing,89
antiquarian,4
towns,41
convenient,19
within,419
one,2694
california,24
're,666
white,215
extremely,65
45/94,1
slippery-bodied,1
site,90
associated,75
maria,17
michelle,6
yesterday,166
ago,166
through,745
giggle,2
4,180
seconds,32
ca,261
uhum,1
flower,26
things,367
dealing,54
lived,74
fell,93
system,403
sought,36
c.itoh,1
swept,21
1983,57
stomach,26
1942,7
asia,25
criticizing,3
module,26
standard,116
western,80
quote,11
insurance,69
lawns,3
dress,42
then,1379
man,511
partners,26
healthy,32
near,161
here,591
privately,13
employed,47
singing,24
how,858
voicing,3
walked,74
1,338
polythene,3
markets,47
private,147
centre,199
today,239
andrew,26
arrived,61
water,317
preservation,12
act,244
signed,54
while,470
used,625
glorious,8
indeed,160
intends,8
drinks,20
kissing,5
originally,31
exchange,61
never,461
phyla,1
sense,188
north,175
region,102
learning,84
leaving,72
project,130
upper,44
kami,1
bits,34
caddie,2
following,244
caroline,18
'll,621
malta,6
narrow,38
cheaper,24
allocate,4
career,60
circulation,17
also,1069
chemically,2
ineffective,4
friends,134
existence,56
home,458
actually,219
reuter,4
aware,78
house,431
positions,26
annual,65
60,31
inter-city,2
members,242
hair,138
rustle,4
sortie,3
privileged,13
killed,65
children,435
led,166
boilermakers,1
head,310
confirms,4
stop,144
medicine,28
basic,99
echoed,11
bias,13
13,73
herself,140
underlines,4
uncertain,19
nothing,292
another,530
hours,157
attractions,9
table,171
motaball,1
database,28
collapsed,17
interpretation,35
100,63
stephenson,4
rushed,15
output,58
gunshots,1
already,284
made,824
exceptions,11
thus,180
presents,25
roses,16
wanted,210
introduction,61
session,37
2.06,1
amendments,7
common,160
bubo,1
delivery,35
effie,2
pelagic,2
particular,264
:,2281
seller,17
towards,247
war,254
britain,227
past,203
beginnings,5
],313
among,206
widths,1
most,795
seek,39
television,79
operation,92
whole,287
mystery,21
nations,36
arrival,33
slowly,60
coast,44
using,218
patissier,1
sent,98
religious,59
content,52
thoroughly,22
defence,88
go,792
name,220
julie,17
licensing,7
put,535
annually,16
swift,11
look,506
industry,188
big,246
pound,77
hapless,1
comprises,7
six,253
tests,46
employment,97
remember,163
views,59
expensive,63
found,413
says,318
bit,237
prop,6
soon,187
city,198
structure,133
attached,22
β-,1
tanned,6
gabba,2
1990,151
awareness,40
