norm,BNC_2_4m_Count
of,65172
week,671
customers,137
couple,249
have,9843
still,1548
‘,16419
and,56508
mellion,1
they,9010
figures,224
’,16078
are,9829
.,101109
chapter,351
keep,585
mm/hr,1
delicious,29
to,55604
tries,27
said,4116
up,4390
's,16744
rules,247
in,41485
national,837
at,11383
you,14233
jennifer,22
billy,50
was,18883
there,6804
final,360
wishing,35
erm,1382
end,1011
the,129622
factor,128
if,5459
she,7566
had,9110
entertainment,32
i,18735
from,9142
completely,181
able,646
it,22634
class,388
that,24059
faster,73
modernization,7
senator,19
agreement,287
reason,365
would,5154
menu,39
programme,412
asked,628
health,500
take,1437
andersen,3
tachistoscopic,1
probably,540
manager,311
mistaken,29
rock,137
try,448
we,7474
a,46729
paul,248
people,2607
published,229
muddy,11
those,1826
good,1749
part,1160
do,5762
my,3150
stares,4
across,511
for,18986
father,456
who,4314
memory,150
all,5997
over,2886
including,511
taxi,36
closely,117
",",107411
examination,90
stitches,14
an,7323
down,1939
considerable,201
palace,105
get,2058
line,512
open,621
is,21438
different,1082
£2,16
—,5938
doing,598
local,1023
he,13681
formation,78
laurance,4
profit,125
camera,55
xs,4
under-secretaries,2
per,1226
moore,38
than,3119
when,4590
this,9710
shame,33
race,170
everyone,279
!,3169
two,3216
non-handicapped,1
montagne,3
paths,29
labour,570
his,8724
activity,236
but,9505
number,1046
pricing,23
picture,249
fossils,22
very,2569
once,766
doubt,244
),8392
young,730
prescribed,27
virtual,18
topic,48
inconvenient,8
as,13962
blood,216
bring,310
brave,42
positive,185
(,8254
could,3501
be,13941
english,425
by,11046
arms,215
however,1247
gripping,12
amount,329
hungry,42
crabb,1
little,1372
proceed,49
cr,5
subject,470
on,15561
her,6604
chris,109
think,1941
acknowledge,32
mentioned,160
eased,20
detected,39
cheered,11
year,1562
developed,273
royal,320
bathing,12
necessarily,131
engineered,7
commands,19
can,4921
bush,74
1985,139
construction,135
why,1031
planting,26
place,993
provided,381
question,514
expect,220
going,1360
power,703
officials,147
thither,1
well-known,40
need,1191
because,2074
unfortunately,85
er,1892
pp.,120
grupo,3
recently,260
aspects,165
15,268
annexe,5
money,808
2-hydroxyethyldithiocarbamate,1
charter,46
permission,62
block,87
attended,74
well,3081
faint,35
lead,324
've,1808
flexible,52
light,524
organizing,18
focus,123
reminded,36
technology,266
june,299
own,1427
may,2711
against,1166
?,8351
lift,96
party,843
course,1107
hall,283
dentists,4
8¼,1
or,7810
say,1437
;,4380
many,1877
liverpool,128
rhaetian,1
evolutionary,23
yet,698
twin,54
held,643
into,3333
agreements,68
s95,1
wear,114
came,989
"""",3046
were,6827
see,2467
0793-514514,1
beirut,16
paper,326
believes,83
colour,244
temperature,91
turtles,5
something,1114
constitutes,18
dome,18
hypertension,7
woman,478
lives,248
phytoplankton,4
exceptional,39
make,1655
drives,33
list,272
boer,3
want,1187
lab,15
animal,113
change,700
holding,179
analysis,275
too,1442
champions,39
flat,207
john,705
reproduction,26
puppy,5
al,83
come,1394
vertically,6
remarked,39
hurtarte,1
wales,217
mrs,380
devastation,7
experiences,66
changing,133
much,1956
1916,9
compared,192
magnus,5
trying,382
civilian,32
katrine,1
face,714
some,3595
which,7763
non-insulin,1
simple,331
station,212
years,1948
green,321
**altered,1
bates,15
help,776
eyes,577
main,495
taken,737
with,13966
n't,6808
what,5099
packers,4
your,2917
few,909
world,1188
yourself,200
nudity,3
him,3310
nowhere,48
like,3287
anonymous,25
inc,131
wheeled,9
although,927
mr.,304
share,284
captain,131
thing,744
surprise,108
speed,177
oddly,14
life,1226
just,2668
so,5145
show,573
should,2343
quickly,255
jurisprudence,3
spoken,63
park,265
before,1806
pushed,111
skirts,14
better,742
emphasised,20
me,2765
pensioner,13
21,119
now,2987
side,718
does,1387
london,745
day,1346
adolescents,12
beauty,90
asking,145
utterly,26
bristol,59
scores,42
mask,32
dad,138
central,380
started,315
gaze,41
told,802
'd,1387
forms,263
innovative,20
same,1345
inexperienced,10
creole,14
darlington,120
meteor,6
appearance,126
youth,106
ordered,100
government,1312
influence,198
running,318
level,571
predictably,10
turned,489
major,618
real,518
sold,181
give,962
mercats,1
way,2122
ouch,4
dared,12
port,80
best,740
rose,230
their,5418
hear,274
done,716
k,46
nor,245
punishing,5
november,198
small,900
floated,10
stream,45
work,1909
watching,139
heavy,203
enter,93
defect,21
went,980
did,2838
ring,159
reasons,238
two-dimensional,9
fact,794
new,2573
am,553
responsible,192
peaches,7
more,4574
orkney,19
without,938
crash,46
range,471
likes,64
middle,277
protein,63
learners,17
public,803
any,2558
flyer,6
products,214
offer,319
extend,67
wierdsma,1
bitumen,4
weak,64
himself,612
5,392
plenty,98
lord,344
surveyors,14
peter,284
glared,20
p.,308
every,856
choir-boy,1
join,165
record,300
temperaments,1
splashing,9
nil,19
know,2527
ran,187
road,539
dhss,15
distance,129
not,9602
foundation,97
fossil,22
r.a.f.,1
back,2089
flint,9
food,398
plays,71
far,855
proximity,16
dr,218
exile,22
routes,37
start,504
must,1529
itself,482
being,1807
fatal,33
inevitably,69
bombs,28
homes,120
agent,99
wondered,79
powder,36
wish,241
united,428
president,381
prosperity,24
since,1090
forestry,20
northern,239
1920s,28
50g/2oz,1
oxford,205
personal,355
reflected,77
proved,158
duffer,2
attempting,47
yeah,1670
variety,168
allow,242
1955,19
developing,156
after,2402
move,419
important,810
a.,65
out,4291
practical,148
hobby,16
ask,420
okay,244
belvedere,6
quilt,4
knee,38
alkaline,11
consisting,38
tony,118
brief,137
feelings,113
where,2360
discarded,16
apparently,156
basis,295
care,511
mississippi,3
large,717
information,820
conservative,173
waterfowl,4
has,5469
joined,149
occasions,58
hoses,3
historicity,2
championship,70
happens,126
1979,104
briskly,6
demand,237
acquires,4
control,554
undoers,1
four,1013
union,383
language,404
wound,42
cheap,92
observers,32
dull,48
informal,56
special,443
"£80,000–120,000",1
places,210
petal,2
feminism,22
no,4921
high,876
only,3131
30,227
apart,203
believe,443
hands,395
combustible,2
offence,76
d,174
silent,73
markowitz,3
husbands,16
breathing,52
necessary,398
contact,201
enclosed,45
gave,479
conformity,11
love,486
highest,117
knowledge,261
cards,77
school,803
support,646
joke,46
northumberland,17
prohibited,17
consolidated,20
tax,362
first,2505
having,733
environmental,195
integration,60
types,181
set,965
might,1243
its,3506
cool,81
verse,34
deliveries,16
disease,197
bridge,137
award,372
archbishop,36
officer,197
holidays,68
entire,117
mummy,55
car,558
powell,23
secretaries,22
literature,96
20,304
largely,149
dependent,81
days,691
collapse,60
[,705
during,943
rearranged,6
formal,130
students,285
sort,560
experience,448
together,633
liability,88
earlier,356
lecture,49
hopefuls,3
been,5605
will,5308
taking,468
kidlington,2
workers,293
applicable,29
challenges,27
object,117
remarkably,28
targon,1
toffs,1
hoped,113
relationship,267
monopoly,36
mm,758
enquiring,8
invariably,39
"£8,500",1
eglantine,1
around,952
wings,59
downwards,17
examinations,35
front-runner,4
effects,253
material,287
planes,21
curve,54
win,255
other,3328
robert,174
catering,45
opinion,147
colonel,43
imposed,71
frenchwoman,2
even,1954
three,1706
aragon,6
widened,21
masterminded,3
nan,12
evil,50
deep,208
chorus/mix,1
such,2334
play,477
screen,113
potential,220
hat,67
behind,465
georgiades,7
book,533
cavagna,1
community,504
proposals,184
martin,108
these,2712
writing,228
antiquarian,5
towns,88
convenient,45
within,979
