index,CABNC_Count
rang,136
.,256556
single,143
'll,9669
be,10164
ca,4138
a,39711
down,4541
she,16279
her,5386
know,15788
the,59949
text,42
woman,281
go,9268
with,8422
let,934
bath,212
get,9771
miles,183
along,396
plane,38
lovely,1038
pound,1053
but,14439
in,23886
just,9611
yes,11641
think,8437
last,2060
it,65876
oh,20551
do,27189
let's,765
i,85782
's,53869
deep,121
've,11705
without,425
no,19420
so,12095
though,1550
old,1535
he,22625
and,45393
there,16891
well,18743
n't,39931
to,38012
dead,208
visitors,11
sandwich,81
you,67036
bikes,42
two,5411
'm,6569
because,3626
we,17894
sleep,341
was,18299
right,7531
scott,103
evening,205
this,9690
ring,355
na,4385
away,1200
sorry,892
soon,346
at,8356
neighbours,74
football,137
make,1806
our,1630
had,6722
erm,8681
are,8533
open,572
gosh,115
way,2453
only,3443
your,7233
then,8658
more,2718
years,1013
up,8815
pond,37
ju,68
parsnips,8
now,6204
fifteen,456
mm,12151
have,17660
want,5378
too,1762
boots,100
one,12837
yeah,28259
said,9499
they,22605
talk,461
got,15803
or,6345
ah,2792
clue,49
like,10410
skateboards,5
made,822
if,9191
what,18152
glad,193
cockney,6
seventy,352
mummy,969
by,1895
road,786
relationship,30
told,1038
neil,240
regiment,4
does,3780
're,9431
er,10716
arf,25
having,1109
morning,1341
must,1761
how,3863
uh,25
blessed,28
when,7150
place,705
some,4307
going,5388
thing,2649
fell,142
on,17084
somebody,970
that,43760
of,22252
as,6079
madge,46
dry,173
done,2193
whoa,8
become,77
is,18148
int,336
c,383
five,2438
really,4515
waited,20
jean,230
went,2681
funny,626
might,1982
nights,112
could,4028
means,254
good,4156
yourself,364
his,3114
sound,177
did,10175
may,480
day,1956
passenger,11
something,2974
agreement,21
from,3150
tell,1763
experienced,13
gone,1342
happened,320
nothing,1074
piece,322
out,7451
conversation,138
blowing,40
dad,1111
started,500
connected,19
monday,411
today,1264
gon,3454
woolworths,22
easy,252
not,11144
use,921
new,1133
where,3909
wonder,480
market,199
busy,195
half,1588
pantomime,27
steps,59
