index,CHILDES_Count
you're,2276
in,8836
is,9141
again,1287
?,52714
have,4830
uhuh,69
.,162391
was,2564
what,10337
there,9387
i,16601
right,3718
i'm,2229
them,2670
comb,34
old,212
want,3514
she,2919
now,3790
out,2343
watch,443
car,1287
stay,242
darling,268
come,2273
can,5111
camera,95
other,974
oh,11139
aren't,641
he's,2055
you,29257
the,21480
some,2841
on,8887
that,14256
are,5765
man,790
yes,4621
girl,839
we,5421
a,18190
doing,1460
it,19612
they're,994
turtle,50
love,201
get,3764
noise,251
let,738
tree,306
what've,71
my,3356
do,9169
suppose,61
going,5071
bit,1543
yeah,6991
put,4299
whatever,41
one,7756
ah,410
people,273
did,3080
bath,192
this,6832
four,481
mama,244
where,2615
important,6
like,4173
excited,30
back,1466
from,558
to,10638
camping,6
her,2179
lose,40
eight,150
eats,45
come_on,103
doggy,73
broken,317
can't,1824
santie_claus,8
beautiful,64
well,3020
inch,2
good,1908
eat,954
got,4858
let's,880
how,1211
look,3992
nobody,53
aunty_jane,2
off,1738
apple,211
walk,206
games,70
why,1668
way,951
drop,106
shetland,2
lid,154
little,1815
didn't,1171
eye,137
you've,1141
dog,398
make,1447
don't,5271
",",9418
and,11985
he,5120
bozo,28
trailer,72
ambulance,60
wee,739
down,2350
they,3207
mummy's,452
fall,482
up,3239
me,3965
acidy,1
beard,19
kilty,2
were,734
sometimes,147
amy's,145
see,3305
around,205
canceling,2
okay,2184
animals,308
beans,66
born,21
help,387
best,83
think,2803
one's,367
which,626
wanna,1999
tea,445
table,341
bed,490
brakes,5
job,41
only,461
huh,772
ready,360
isn't,1689
...,2510
hears,4
sarah,367
/.,761
!,2434
cool,30
diandra,12
hide,115
all,3095
song,115
not,4522
horrible,65
that's,6680
still,277
much,309
↓whoopee,1
it's,5312
came,230
mess,70
sit,969
egg,267
of,3069
try,372
or,1033
gone,1159
panda,179
know,3028
something,729
b,99
no,10100
engine,90
aw,99
perhaps,124
at,2276
sweetcorn,26
wonder,107
mark,23
running,131
water,450
play,1455
hasn't,295
there's,2005
made,286
sauce,34
upstairs,173
catch,156
buy,265
fraser,182
dadaw,11
carl,355
so,1743
vida,20
hurt,287
orange,356
wave,31
bridge,310
peas,60
when,1139
your,5212
ride,246
ate,73
will,1061
else,744
red,625
number,132
colour's,1
making,365
house,934
snuggle,8
holes,36
does,1447
mummy,2216
warren,207
really,734
him,1657
two,1734
big,1808
anna's,113
amy,544
picture,263
trainset,25
wanted,113
every,102
into,345
then,3158
said,560
clever,176
tshirts,4
„,2339
just,2440
‡,1764
for,3460
here,3555
paint's,4
whose,122
find,751
brrr,2
remember,435
dishes,28
hello,723
would,773
idea,117
goose,26
pull,289
another,1292
save,29
working,78
fence,79
doris,1
go,5589
interesting,35
book's,3
happened,329
who,1052
0.,139
whoops,400
has,883
yellow,440
mom,75
gordon,159
room,279
concert,2
peel,24
take,1169
i'll,1095
candle,13
bucket,61
anything,269
busy,101
burn,23
cheese,184
foot,150
loud,39
these,1223
//.,792
spell,63
lara,586
daddy,1334
train,774
his,1410
sure,374
peter,81
sleep,441
jeep,13
what's,3261
lunch,159
tiger,487
may,111
milk,345
say,1151
today,451
fit,378
knife,69
paul,170
bounced,4
door,480
tickly,27
three,800
express,3
both,152
money,220
about,1241
bag,279
station,96
toys,427
bank,16
peek,14
horse,460
heavy,85
anne,204
better,689
next,430
finger,204
pineapple,28
very,1447
many,294
oh_deary_me,4
