index,CHILDES_Count
that,34119
i'm,5180
do,21830
.,389822
store,64
now,9162
put,10611
i,39662
afternoon,139
then,7646
?,125145
three,1782
he's,4867
/.,1914
rather,96
uhhuh,1797
take,2872
doors,93
bucket's,4
eight,355
think,6811
where's,3748
or,2434
grey,155
oh,26914
...,6164
a,43339
other,2345
know,7141
it's,12988
to,25584
ever,363
horse,1022
he,12037
piece,613
pocket,172
you,70680
mum,843
she's,2643
and,28516
that's,16106
the,52083
one,18826
michael,70
needs,327
foot,375
sweetheart,296
will,2573
you've,2696
light,296
grr,98
not,10935
my,8141
this,16501
look,9780
yeah,16203
going,12292
are,13823
is,22163
pie,198
helicopter,178
get,8912
door,1158
little,4493
cat,978
yes,11045
else,1720
remember,1009
lara,1355
mhm,4683
chew,74
time,1658
all,7478
ah,977
what,24841
have,11778
there,22343
tree,696
yum,589
it,46747
ribbons,7
play,3463
train,1783
was,6247
ruth,479
with,8056
good,4572
current,1
oy,149
bag,666
but,3746
help,970
just,5758
me,9567
lying,226
boots,137
bridge,817
flag,32
‡,4351
big,4442
after,705
tell,1775
bum's,3
cat's,68
go,13335
here,8576
be,5482
in,21191
has,2342
",",22613
watching,194
been,1077
some,7002
lovely,895
nice,2430
had,1923
they're,2358
until,526
haven't,1695
hafta,2835
classroom,6
their,544
truck,643
wobbly,60
fork,147
up,7797
i've,1889
very,3528
happened,847
airplane,150
bit,3521
for,8254
bye,455
talk,507
another,3222
stood,54
can't,4431
sorry,789
farm,408
leave,686
gloria,38
we,12934
like,9845
straight,190
goes,1749
cuffs,1
probably,389
color,1043
want,8213
can,11733
could,1498
bedroom,160
thursday,65
window,382
again,3019
down,5696
land,46
gives,41
said,1375
bambi,39
teddy,566
fences,38
me's,1
got,11826
enjoy,44
cold,626
bashing,24
lives,187
no,23973
did,7159
when,2810
shot,53
floor,829
fish,765
boring,77
sharks,36
girl,1934
putting,660
boat,560
five,795
huh,1865
ran,113
!,5924
dollar,20
don't,12825
on,21211
wanna,4820
we'll,1349
your,12385
learn,78
who,2592
right,9047
looks,713
they,7445
because_of,18
these,3101
creature,11
played,130
frog,141
seven,392
„,5454
grant,9
found,533
kleenex,23
