norm,KBNC_1m_Count
lonely,67
as,4560
!,5683
night,459
a,17707
.,60485
vegetables,13
the,42774
",",48406
erika,375
himself,578
hound,3
talkin',1
down,2066
’,23466
disappointing,2
?,8331
it,12425
how,1403
tipped,16
rainbow,41
that,8331
n't,7142
agree,36
us,688
of,14547
have,3201
know,1624
with,5339
up,3712
her,7730
be,3777
for,5141
moustache,13
i,11053
was,12376
districk,1
's,8901
soon,350
my,1953
could,2525
houses,71
right,1170
then,2552
strange,210
said,7006
grinned,78
vaguely,20
washing,29
‘,23978
after,980
wrung,3
our,511
head,855
soft,108
his,6770
sudden,78
work,453
did,2651
thought,1275
no,2412
can,1572
bike,72
from,2679
'll,1852
she,10636
want,811
get,1463
were,2778
heir,27
miss,1010
in,10672
revealing,6
ultimately,1
them,2721
applause,7
where,1097
going,1126
appalled,8
two,1056
made,855
pressure,10
only,1135
give,419
stopped,323
and,22839
white,380
anyone,234
put,871
keep,399
do,4163
high,232
cool,43
being,553
me,2528
danced,26
way,1088
'm,1195
spreading,21
him,4029
channels,6
mad,114
on,6297
grand,40
ban,27
playful,5
is,3567
aisle,4
upstairs,66
nailsishness,1
spirits,42
reached,215
had,5896
lips,69
oh,751
),650
enormous,52
dries,2
numbers,117
they,4868
live,200
whispered,174
yatton,15
oxygen,2
will,1125
three,500
heels,25
mill,33
canvas,7
look,1002
he,12661
petals,14
at,5279
child,209
gold,89
:,1062
barking,50
dogs,69
tell,727
shining,37
out,3479
olinton,29
pounds,47
murderess,1
to,20477
before,888
conspirators,2
suddenly,443
times,177
eating,92
gave,425
wires,22
during,112
trained,14
loomed,17
polka,1
drank,40
strangely,13
signs,33
if,2733
cooking,18
answer,217
bombie,31
ice-blue,2
explain,93
like,2701
table,379
yourself,200
letters,110
grants,3
worried,95
saw,732
most,406
repayment,1
believe,285
check,53
omi,127
under,471
every,440
about,2305
heather,48
another,583
but,5098
all,3711
used,339
good,919
deep,192
near,198
you,11540
still,866
we,2803
more,1171
're,1277
marion,129
receded,5
safety,31
much,795
common,52
engine,39
edgeways,1
last,673
arrived,122
heard,489
smiled,215
words,251
mrs,761
bundles,3
ran,392
understand,244
,217
this,2666
end,396
when,2256
sure,422
round,792
well,1207
word,257
perhaps,344
must,868
fashioned,2
32,4
allus,2
breakfast,65
swat,4
dark,311
hammond,6
ourselves,35
opened,263
stone,144
abiram,2
who,1538
carol,53
manners,19
wound,29
day,821
aching,16
handed,53
staying,28
humans,157
both,354
mood,41
crawling,8
other,973
tapestry,7
harm,55
nearer,40
fields,59
plant,49
built,68
filled,99
place,538
ragged,13
whole,288
plan,101
pad,15
trapping,2
miles,86
anything,487
think,1123
penny,47
matilda,374
feel,327
does,523
powerful,32
bank,102
bird,137
looked,1345
sam,296
doctor,193
nine,51
halves,8
come,1138
just,1667
fear,103
wanted,406
example,75
lee,765
which,1015
years,300
imagine,83
or,1787
world,326
now,1849
its,641
red,280
garden,186
those,345
chin,50
house,617
half,300
skin,67
barrels,14
myself,118
through,944
join,91
abilities,1
these,505
barnsley,18
fire,237
carpet,49
there,3653
each,561
answering,16
