norm,Synsets,domain_x,ngrams_last_mean,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,kbnc_1m_sum,childes_1m_rel_sum,childes_2_4m_rel_sum,childes_5_7m_rel_sum,bnc_1m_sum,bnc_5_7m_sum,bnc_2_4m_sum,bnc_100m_sum,cabnc_per_100k_2_4m,cabnc_per_100k_1m
adjustable_wrench,Synset('adjustable_wrench.n.01'),tool,-18.85440188,1,7,0.0,1.0129032258064516,0.5631725787166202,17,2,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
allen_wrench,Synset('allen_wrench.n.01'),tool,-18.3891264,1,0,0.0,1.0129032258064516,0.3910920685532084,12,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
alligator_wrench,Synset('alligator_wrench.n.01'),tool,-22.35469017,1,0,0.0,1.0129032258064516,1.5174372259864488,16,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
awl,Synset('awl.n.01'),tool,-14.80999674,1,2,15.7,0.9116129032258066,0.9855520127540852,3,1,1,b,0,0.0,0.0,0.0,1,3,1,39,0,0
backsaw,Synset('backsaw.n.01'),tool,-18.3274757,1,0,0.0,1.1141935483870968,1.110701474691112,7,2,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
ball-peen_hammer,Synset('ball-peen_hammer.n.01'),tool,-18.48889427,1,0,0.0,1.0129032258064516,0.9855520127540852,16,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
beading_plane,Synset('beading_plane.n.01'),tool,-23.74098453,1,0,0.0,1.0129032258064516,0.969908330011957,13,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
bevel,Synset('bevel.n.02'),tool,-14.97634131,1,0,0.0,0.9116129032258066,1.658230370665604,5,2,3,b,0,2e-06,4.583333333333333e-06,4.3859649122807014e-06,0,4,0,233,6,0
bill,Synset('bill.n.08'),tool,-10.98524804,1,0,0.0,1.0129032258064516,0.5944599442008769,4,2,13,nb,543,0.001057,0.0008283333333333334,0.0008226315789473684,2237,12697,5347,216663,3436,1282
block_plane,Synset('block_plane.n.01'),tool,-18.27715276,1,0,0.0,1.0129032258064516,0.6257473096851335,11,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
blunt_file,Synset('blunt_file.n.01'),tool,-23.04783735,1,0,0.0,1.0129032258064516,0.4067357512953368,10,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
bodkin,Synset('bodkin.n.04'),tool,-16.58006996,1,0,0.0,0.9116129032258066,0.7665404543642885,6,2,4,nb,0,0.0,0.0,0.0,4,16,8,96,0,0
box_wrench,Synset('box_wrench.n.01'),tool,-20.66606788,1,0,7.85,1.0129032258064516,1.1263451574332404,10,2,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
brace_wrench,Synset('brace_wrench.n.01'),tool,-23.02585093,1,0,0.0,1.0129032258064516,1.2671383021123954,12,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
bradawl,Synset('bradawl.n.01'),tool,-17.52110424,1,0,0.0,1.0129032258064516,0.8604025508170586,7,2,2,nb,0,0.0,0.0,0.0,0,1,0,10,0,0
brick_trowel,Synset('brick_trowel.n.01'),tool,-19.41875535,1,0,0.0,1.0129032258064516,0.3754483858110801,12,2,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
bricklayer,Synset('bricklayer's_hammer.n.01'),tool,-22.99965765,1,0,0.0,1.0129032258064516,0.4693104822638501,19,1,1,nb,1,0.0,0.0,0.0,2,4,2,64,0,0
bucksaw,Synset('bucksaw.n.01'),tool,-18.90531306,1,0,0.0,1.0129032258064516,1.7051614188919888,7,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
bulldog_wrench,Synset('bulldog_wrench.n.01'),tool,-23.02585093,1,0,0.0,1.0129032258064516,0.8291151853328019,14,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
bullnose,Synset('bullnose.n.01'),tool,-18.89701426,1,0,0.0,1.0129032258064516,0.969908330011957,8,2,1,nb,0,0.0,0.0,0.0,0,0,0,2,0,0
can_opener,Synset('can_opener.n.01'),tool,-16.7853919,1,1,0.0,1.0129032258064516,0.4693104822638501,10,2,1,b,0,0.0,0.0,0.0,0,0,0,0,0,0
carpenter,Synset('carpenter's_hammer.n.01'),tool,-17.92629977,1,0,0.0,1.0129032258064516,0.7821841371064169,10,3,1,nb,4,6e-06,1.1666666666666666e-05,8.070175438596492e-06,14,58,16,860,2,0
carpenter,Synset('carpenter's_mallet.n.01'),tool,-20.25881761,1,0,0.0,1.1141935483870968,1.157632522917497,18,1,1,nb,4,6e-06,1.1666666666666666e-05,8.070175438596492e-06,14,58,16,860,2,0
carpenter,Synset('carpenter's_square.n.01'),tool,-17.92136369,1,0,0.0,1.0129032258064516,0.922977281785572,18,1,1,nb,4,6e-06,1.1666666666666666e-05,8.070175438596492e-06,14,58,16,860,2,0
carriage_wrench,Synset('carriage_wrench.n.01'),tool,-23.02585093,1,0,0.0,1.0129032258064516,0.7039657233957752,15,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
chain_tongs,Synset('chain_tongs.n.01'),tool,-20.56293072,1,1,7.85,1.215483870967742,2.2526903148664807,11,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
chain_wrench,Synset('chain_wrench.n.01'),tool,-23.74098453,1,0,0.0,1.3167741935483872,0.4380231167795934,12,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
chamfer_plane,Synset('chamfer_plane.n.01'),tool,-20.33978712,1,0,0.0,1.0129032258064516,0.5162415304902351,13,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
church_key,Synset('church_key.n.01'),tool,-18.47829434,1,0,0.0,1.1141935483870968,1.157632522917497,10,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
circular_plane,Synset('circular_plane.n.01'),tool,-19.21919598,1,0,0.0,1.0129032258064516,1.0950577919489837,13,2,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
coal_shovel,Synset('coal_shovel.n.01'),tool,-18.67208028,1,0,0.0,1.0129032258064516,0.5005978477481068,11,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
combination_plane,Synset('combination_plane.n.01'),tool,-20.33978712,1,0,0.0,1.0129032258064516,1.0950577919489837,17,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
compass_saw,Synset('compass_saw.n.01'),tool,-19.69793328,1,0,0.0,1.1141935483870968,0.922977281785572,11,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
coping_saw,Synset('coping_saw.n.01'),tool,-17.8521066,1,0,0.0,1.1141935483870968,1.110701474691112,10,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
crescent_wrench,Synset('crescent_wrench.n.01'),tool,-18.6472343,1,0,0.0,1.1141935483870968,1.7208051016341173,15,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
crosscut_saw,Synset('crosscut_saw.n.01'),tool,-18.58384675,1,0,0.0,1.1141935483870968,0.969908330011957,10,3,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
crown_saw,Synset('crown_saw.n.01'),tool,-20.13006662,1,0,0.0,1.0129032258064516,0.8604025508170586,9,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
dado_plane,Synset('dado_plane.n.01'),tool,-21.54375995,1,0,0.0,1.1141935483870968,0.5005978477481068,10,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
ditch_spade,Synset('ditch_spade.n.01'),tool,-20.52867063,1,0,0.0,1.1141935483870968,0.8291151853328019,11,2,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
dog_wrench,Synset('dog_wrench.n.01'),tool,-22.35469017,1,0,0.0,1.0129032258064516,0.6570346751693902,10,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
dovetail_plane,Synset('dovetail_plane.n.01'),tool,-23.02585093,1,0,0.0,1.0129032258064516,1.063770426464727,14,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
entrenching_tool,Synset('entrenching_tool.n.01'),tool,-18.56483482,1,0,0.0,1.0129032258064516,0.8916899163013152,15,2,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
file,Synset('file.n.04'),tool,-9.721257642,1,7,7.85,0.9116129032258066,1.6425866879234754,4,1,9,b,144,1.4e-05,1.375e-05,6.140350877192982e-06,699,3463,1543,62105,482,211
flat_file,Synset('flat_file.n.01'),tool,-16.66771483,1,0,0.0,1.0129032258064516,0.4536667995217218,9,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
flat_tip_screwdriver,Synset('flat_tip_screwdriver.n.01'),tool,-23.02585093,1,0,0.0,1.0129032258064516,1.3610003985651653,20,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
float,Synset('float.n.05'),tool,-12.50989154,1,0,0.0,0.9116129032258066,1.6269430051813472,5,2,16,b,264,0.00024,0.00025333333333333333,0.00026263157894736844,135,994,342,18382,1197,465
folding_saw,Synset('folding_saw.n.01'),tool,-20.56293072,1,0,0.0,1.0129032258064516,1.2671383021123954,11,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
fore_plane,Synset('fore_plane.n.01'),tool,-20.18563645,1,0,0.0,1.0129032258064516,1.1419888401753686,10,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
garden_spade,Synset('garden_spade.n.01'),tool,-18.4628699,1,0,0.0,1.1141935483870968,0.3910920685532084,12,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
garden_trowel,Synset('garden_trowel.n.01'),tool,-18.04054098,1,0,0.0,1.0129032258064516,0.4067357512953368,13,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
gavel,Synset('gavel.n.01'),tool,-14.8318801,1,0,0.0,1.1141935483870968,0.8291151853328019,5,1,1,nb,0,0.0,0.0,0.0,0,0,0,20,0,0
hacksaw,Synset('hacksaw.n.01'),tool,-17.276416,1,0,0.0,1.0129032258064516,0.6257473096851335,7,3,1,nb,0,0.0,0.0,0.0,0,3,0,66,0,0
hammer,Synset('hammer.n.02'),tool,-11.8926874,1,9,15.7,0.9116129032258066,1.5017935432443204,6,1,10,b,293,0.000876,0.00072125,0.000734561403508772,162,1071,415,17748,1366,536
hand_shovel,Synset('hand_shovel.n.01'),tool,-19.78974078,2,6,0.0,0.9116129032258066,0.5162415304902351,11,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
hand_tool,Synset('hand_tool.n.01'),tool,-17.13298386,1,156,7.85,0.8103225806451614,0.4849541650059785,9,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
handsaw,Synset('handsaw.n.01'),tool,-17.41209452,1,8,0.0,1.0129032258064516,0.6413909924272618,7,3,1,nb,0,0.0,0.0,0.0,0,0,0,9,3,2
hook_wrench,Synset('hook_wrench.n.01'),tool,-23.04783737,1,0,0.0,1.0129032258064516,0.8447588680749303,11,2,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
icepick,Synset('icepick.n.01'),tool,-17.05121818,1,0,7.85,1.0129032258064516,1.3297130330809086,7,2,1,b,0,0.0,8.333333333333333e-07,7.017543859649123e-07,0,0,0,0,0,0
